,criterion,max_depth,max_features,min_impurity_decrease,n_estimators,Accuracy
725,gini,5.0,,3.0,1000,0.5841194968553458
726,gini,5.0,,4.0,1,0.5841194968553458
727,gini,5.0,,4.0,10,0.5841194968553458
728,gini,5.0,,4.0,100,0.5841194968553458
729,gini,5.0,,4.0,1000,0.5841194968553458
730,gini,5.0,,5.0,1,0.5841194968553458
731,gini,5.0,,5.0,10,0.5841194968553458
732,gini,5.0,,5.0,100,0.5841194968553458
733,gini,5.0,,5.0,1000,0.5841194968553458
734,gini,4.0,sqrt,5.0,1000,0.5841194968553458
735,gini,4.0,sqrt,5.0,100,0.5841194968553458
736,gini,4.0,sqrt,5.0,10,0.5841194968553458
737,gini,5.0,1,1.0,10,0.5841194968553458
738,gini,5.0,1,4.0,1000,0.5841194968553458
739,gini,5.0,1,1.0,100,0.5841194968553458
740,gini,5.0,1,1.0,1000,0.5841194968553458
741,gini,5.0,1,2.0,1,0.5841194968553458
742,gini,5.0,1,2.0,10,0.5841194968553458
743,gini,5.0,1,2.0,100,0.5841194968553458
744,gini,5.0,1,2.0,1000,0.5841194968553458
745,gini,5.0,1,3.0,1,0.5841194968553458
746,gini,5.0,1,3.0,10,0.5841194968553458
747,gini,5.0,1,3.0,100,0.5841194968553458
748,gini,5.0,1,3.0,1000,0.5841194968553458
749,gini,5.0,1,4.0,1,0.5841194968553458
750,gini,5.0,1,4.0,10,0.5841194968553458
751,gini,5.0,1,4.0,100,0.5841194968553458
752,gini,4.0,sqrt,3.0,10,0.5841194968553458
753,gini,10.0,sqrt,1.0,10,0.5841194968553458
754,gini,5.0,,3.0,1,0.5841194968553458
755,gini,10.0,,1.0,1,0.5841194968553458
756,gini,10.0,log2,3.0,1000,0.5841194968553458
757,gini,10.0,log2,4.0,1,0.5841194968553458
758,gini,10.0,log2,4.0,10,0.5841194968553458
759,gini,10.0,log2,4.0,100,0.5841194968553458
760,gini,10.0,log2,4.0,1000,0.5841194968553458
761,gini,10.0,log2,5.0,1,0.5841194968553458
762,gini,10.0,log2,5.0,10,0.5841194968553458
763,gini,10.0,log2,5.0,100,0.5841194968553458
764,gini,10.0,log2,5.0,1000,0.5841194968553458
765,gini,4.0,sqrt,2.0,1,0.5841194968553458
766,gini,4.0,sqrt,1.0,1000,0.5841194968553458
767,gini,4.0,sqrt,1.0,100,0.5841194968553458
768,gini,4.0,sqrt,1.0,10,0.5841194968553458
769,gini,10.0,,1.0,10,0.5841194968553458
770,gini,10.0,log2,3.0,10,0.5841194968553458
771,gini,10.0,,1.0,100,0.5841194968553458
772,gini,10.0,,1.0,1000,0.5841194968553458
773,gini,10.0,,2.0,1,0.5841194968553458
774,gini,10.0,,2.0,10,0.5841194968553458
775,gini,10.0,,2.0,100,0.5841194968553458
776,gini,10.0,,2.0,1000,0.5841194968553458
777,gini,10.0,,3.0,1,0.5841194968553458
778,gini,10.0,,3.0,10,0.5841194968553458
779,gini,10.0,,3.0,100,0.5841194968553458
780,gini,10.0,,3.0,1000,0.5841194968553458
781,gini,10.0,,4.0,1,0.5841194968553458
782,gini,10.0,,4.0,10,0.5841194968553458
783,gini,10.0,,4.0,100,0.5841194968553458
784,gini,10.0,log2,3.0,100,0.5841194968553458
785,gini,10.0,log2,3.0,1,0.5841194968553458
786,gini,10.0,sqrt,1.0,100,0.5841194968553458
787,gini,10.0,sqrt,5.0,1,0.5841194968553458
788,gini,10.0,sqrt,1.0,1000,0.5841194968553458
789,gini,10.0,sqrt,2.0,1,0.5841194968553458
790,gini,10.0,sqrt,2.0,10,0.5841194968553458
791,gini,10.0,sqrt,2.0,100,0.5841194968553458
792,gini,10.0,sqrt,2.0,1000,0.5841194968553458
793,gini,10.0,sqrt,3.0,1,0.5841194968553458
794,gini,10.0,sqrt,3.0,10,0.5841194968553458
795,gini,10.0,sqrt,3.0,100,0.5841194968553458
796,gini,10.0,sqrt,3.0,1000,0.5841194968553458
797,gini,10.0,sqrt,4.0,1,0.5841194968553458
798,gini,10.0,sqrt,4.0,10,0.5841194968553458
799,gini,10.0,sqrt,4.0,100,0.5841194968553458
800,gini,10.0,sqrt,4.0,1000,0.5841194968553458
801,gini,10.0,sqrt,5.0,10,0.5841194968553458
802,gini,10.0,log2,2.0,1000,0.5841194968553458
803,gini,10.0,sqrt,5.0,100,0.5841194968553458
804,gini,10.0,sqrt,5.0,1000,0.5841194968553458
805,gini,4.0,sqrt,3.0,1,0.5841194968553458
806,gini,4.0,sqrt,2.0,1000,0.5841194968553458
807,gini,4.0,sqrt,2.0,100,0.5841194968553458
808,gini,4.0,sqrt,2.0,10,0.5841194968553458
809,gini,10.0,log2,1.0,1,0.5841194968553458
810,gini,10.0,log2,1.0,10,0.5841194968553458
811,gini,10.0,log2,1.0,100,0.5841194968553458
812,gini,10.0,log2,1.0,1000,0.5841194968553458
813,gini,10.0,log2,2.0,1,0.5841194968553458
814,gini,10.0,log2,2.0,10,0.5841194968553458
815,gini,10.0,log2,2.0,100,0.5841194968553458
816,gini,5.0,,3.0,10,0.5841194968553458
817,gini,5.0,,2.0,1000,0.5841194968553458
818,entropy,3.0,1,4.0,1,0.5841194968553458
819,gini,4.0,log2,4.0,1,0.5841194968553458
820,gini,4.0,1,3.0,1,0.5841194968553458
821,gini,4.0,1,3.0,10,0.5841194968553458
822,gini,4.0,1,3.0,100,0.5841194968553458
823,gini,4.0,1,3.0,1000,0.5841194968553458
824,gini,4.0,1,4.0,1,0.5841194968553458
825,gini,4.0,1,4.0,10,0.5841194968553458
826,gini,4.0,1,4.0,100,0.5841194968553458
827,gini,4.0,1,4.0,1000,0.5841194968553458
828,gini,4.0,1,5.0,1,0.5841194968553458
829,gini,4.0,1,5.0,10,0.5841194968553458
830,gini,4.0,1,5.0,100,0.5841194968553458
831,gini,4.0,1,5.0,1000,0.5841194968553458
832,gini,4.0,log2,4.0,10,0.5841194968553458
833,gini,4.0,log2,3.0,1000,0.5841194968553458
834,gini,4.0,1,2.0,100,0.5841194968553458
835,gini,4.0,log2,3.0,100,0.5841194968553458
836,gini,4.0,10,1.0,1,0.5841194968553458
837,gini,4.0,10,1.0,10,0.5841194968553458
838,gini,4.0,10,1.0,100,0.5841194968553458
839,gini,4.0,10,1.0,1000,0.5841194968553458
840,gini,4.0,10,2.0,1,0.5841194968553458
841,gini,4.0,10,2.0,10,0.5841194968553458
842,gini,4.0,10,2.0,100,0.5841194968553458
843,gini,4.0,10,2.0,1000,0.5841194968553458
844,gini,4.0,10,3.0,1,0.5841194968553458
845,gini,4.0,10,3.0,10,0.5841194968553458
846,gini,4.0,10,3.0,100,0.5841194968553458
847,gini,4.0,10,3.0,1000,0.5841194968553458
848,gini,4.0,1,2.0,1000,0.5841194968553458
849,gini,4.0,1,2.0,10,0.5841194968553458
850,gini,4.0,10,4.0,10,0.5841194968553458
851,gini,4.0,,3.0,100,0.5841194968553458
852,gini,4.0,log2,5.0,10,0.5841194968553458
853,gini,4.0,log2,5.0,1,0.5841194968553458
854,gini,4.0,log2,4.0,1000,0.5841194968553458
855,gini,4.0,,1.0,1,0.5841194968553458
856,gini,4.0,,1.0,10,0.5841194968553458
857,gini,4.0,,1.0,100,0.5841194968553458
858,gini,4.0,,1.0,1000,0.5841194968553458
859,gini,4.0,,2.0,1,0.5841194968553458
860,gini,4.0,,2.0,10,0.5841194968553458
861,gini,4.0,,2.0,100,0.5841194968553458
862,gini,4.0,,2.0,1000,0.5841194968553458
863,gini,4.0,,3.0,1,0.5841194968553458
864,gini,4.0,,3.0,10,0.5841194968553458
865,gini,4.0,,3.0,1000,0.5841194968553458
866,gini,4.0,1,2.0,1,0.5841194968553458
867,gini,4.0,,4.0,1,0.5841194968553458
868,gini,4.0,,4.0,10,0.5841194968553458
869,gini,4.0,,4.0,100,0.5841194968553458
870,gini,4.0,,4.0,1000,0.5841194968553458
871,gini,4.0,,5.0,1,0.5841194968553458
872,gini,4.0,,5.0,10,0.5841194968553458
873,gini,4.0,,5.0,100,0.5841194968553458
874,gini,4.0,,5.0,1000,0.5841194968553458
875,gini,4.0,log2,4.0,100,0.5841194968553458
876,gini,4.0,1,1.0,1,0.5841194968553458
877,gini,4.0,1,1.0,10,0.5841194968553458
878,gini,4.0,1,1.0,100,0.5841194968553458
879,gini,4.0,1,1.0,1000,0.5841194968553458
880,gini,4.0,10,4.0,1,0.5841194968553458
881,gini,4.0,10,4.0,100,0.5841194968553458
882,gini,5.0,,2.0,100,0.5841194968553458
883,gini,5.0,log2,4.0,100,0.5841194968553458
884,gini,5.0,log2,1.0,10,0.5841194968553458
885,gini,5.0,log2,1.0,100,0.5841194968553458
886,gini,5.0,log2,1.0,1000,0.5841194968553458
887,gini,5.0,log2,2.0,1,0.5841194968553458
888,gini,5.0,log2,2.0,10,0.5841194968553458
889,gini,5.0,log2,2.0,100,0.5841194968553458
890,gini,5.0,log2,2.0,1000,0.5841194968553458
891,gini,5.0,log2,3.0,1,0.5841194968553458
892,gini,5.0,log2,3.0,10,0.5841194968553458
893,gini,5.0,log2,3.0,100,0.5841194968553458
894,gini,5.0,log2,3.0,1000,0.5841194968553458
895,gini,5.0,log2,4.0,1,0.5841194968553458
896,gini,5.0,log2,4.0,10,0.5841194968553458
897,gini,5.0,log2,4.0,1000,0.5841194968553458
898,gini,4.0,log2,1.0,1000,0.5841194968553458
899,gini,5.0,log2,5.0,1,0.5841194968553458
900,gini,5.0,log2,5.0,10,0.5841194968553458
901,gini,5.0,log2,5.0,100,0.5841194968553458
902,gini,5.0,log2,5.0,1000,0.5841194968553458
903,gini,4.0,log2,1.0,100,0.5841194968553458
904,gini,4.0,log2,1.0,10,0.5841194968553458
905,gini,4.0,log2,1.0,1,0.5841194968553458
906,gini,5.0,,1.0,1,0.5841194968553458
907,gini,5.0,,1.0,10,0.5841194968553458
908,gini,5.0,,1.0,100,0.5841194968553458
909,gini,5.0,,1.0,1000,0.5841194968553458
910,gini,5.0,,2.0,1,0.5841194968553458
911,gini,5.0,,2.0,10,0.5841194968553458
912,gini,5.0,log2,1.0,1,0.5841194968553458
913,gini,4.0,log2,2.0,1,0.5841194968553458
914,gini,4.0,10,4.0,1000,0.5841194968553458
915,gini,5.0,sqrt,2.0,10,0.5841194968553458
916,gini,4.0,10,5.0,1,0.5841194968553458
917,gini,4.0,10,5.0,10,0.5841194968553458
918,gini,4.0,10,5.0,100,0.5841194968553458
