,C,coef0,decision_function_shape,gamma,kernel,Accuracy
344,4.0,2.0,ovr,0.1,linear,0.771051712089448
345,4.0,2.0,ovr,0.01,linear,0.771051712089448
346,8.0,3.0,ovr,0.001,poly,0.771008036338225
347,1.0,3.0,ovr,0.01,poly,0.771008036338225
348,1.0,3.0,ovo,0.01,poly,0.771008036338225
349,8.0,3.0,ovo,0.001,poly,0.771008036338225
350,1.0,1.0,ovo,0.01,poly,0.770964360587002
351,1.0,1.0,ovr,0.01,poly,0.770964360587002
352,3.0,1.0,ovr,0.01,sigmoid,0.7709206848357792
353,6.0,0.0,ovr,0.01,sigmoid,0.7709206848357792
354,6.0,0.0,ovo,0.01,sigmoid,0.7709206848357792
355,3.0,1.0,ovo,0.01,sigmoid,0.7709206848357792
356,5.0,1.0,ovr,0.001,linear,0.7686932215234101
357,5.0,1.0,ovo,0.001,linear,0.7686932215234101
358,8.0,2.0,ovo,0.01,poly,0.7686932215234101
359,5.0,1.0,ovo,0.01,linear,0.7686932215234101
360,5.0,1.0,ovo,0.1,linear,0.7686932215234101
361,5.0,1.0,ovo,0.5,linear,0.7686932215234101
362,5.0,2.0,ovo,0.1,linear,0.7686932215234101
363,5.0,2.0,ovo,0.001,linear,0.7686932215234101
364,5.0,1.0,ovo,1.0,linear,0.7686932215234101
365,5.0,1.0,ovo,3.0,linear,0.7686932215234101
366,5.0,1.0,ovr,0.1,linear,0.7686932215234101
367,5.0,1.0,ovr,3.0,linear,0.7686932215234101
368,5.0,0.0,ovr,3.0,linear,0.7686932215234101
369,5.0,2.0,ovr,0.001,linear,0.7686932215234101
370,5.0,2.0,ovo,3.0,linear,0.7686932215234101
371,5.0,1.0,ovr,0.01,linear,0.7686932215234101
372,5.0,2.0,ovo,1.0,linear,0.7686932215234101
373,5.0,2.0,ovo,0.5,linear,0.7686932215234101
374,5.0,1.0,ovr,1.0,linear,0.7686932215234101
375,5.0,1.0,ovr,0.5,linear,0.7686932215234101
376,5.0,2.0,ovr,0.01,linear,0.7686932215234101
377,5.0,3.0,ovr,0.1,linear,0.7686932215234101
378,5.0,0.0,ovr,1.0,linear,0.7686932215234101
379,5.0,3.0,ovo,0.001,linear,0.7686932215234101
380,5.0,3.0,ovr,0.5,linear,0.7686932215234101
381,5.0,3.0,ovr,1.0,linear,0.7686932215234101
382,5.0,3.0,ovr,3.0,linear,0.7686932215234101
383,5.0,3.0,ovr,0.01,linear,0.7686932215234101
384,5.0,3.0,ovr,0.001,linear,0.7686932215234101
385,5.0,3.0,ovo,3.0,linear,0.7686932215234101
386,5.0,3.0,ovo,1.0,linear,0.7686932215234101
387,5.0,3.0,ovo,0.5,linear,0.7686932215234101
388,5.0,3.0,ovo,0.1,linear,0.7686932215234101
389,5.0,3.0,ovo,0.01,linear,0.7686932215234101
390,5.0,0.0,ovo,0.01,linear,0.7686932215234101
391,5.0,0.0,ovo,0.1,linear,0.7686932215234101
392,5.0,0.0,ovr,0.5,linear,0.7686932215234101
393,5.0,0.0,ovo,0.5,linear,0.7686932215234101
394,5.0,2.0,ovr,3.0,linear,0.7686932215234101
395,5.0,0.0,ovo,1.0,linear,0.7686932215234101
396,5.0,0.0,ovo,3.0,linear,0.7686932215234101
397,8.0,2.0,ovr,0.01,poly,0.7686932215234101
398,5.0,0.0,ovr,0.001,linear,0.7686932215234101
399,5.0,2.0,ovr,1.0,linear,0.7686932215234101
400,5.0,0.0,ovr,0.01,linear,0.7686932215234101
401,5.0,2.0,ovr,0.5,linear,0.7686932215234101
402,5.0,2.0,ovr,0.1,linear,0.7686932215234101
